logz logzerr logvol nlive logl logwt insert_order
-2.695627680340689558e+00 1.888772771404237938e-01 -6.988612746416644761e-02 3.730000000000000000e+02 7.635245951368154279e-10 -5.991464546344458242e+00 nan
-2.659260036169794894e+00 1.915905293573708923e-01 -7.257069283483542910e-02 3.720000000000000000e+02 7.636540323284171685e-10 -5.991464546344327680e+00 nan
-2.624168716358501463e+00 1.938190759872230329e-01 -7.526248450054684458e-02 3.710000000000000000e+02 7.637034317756304905e-10 -5.991464546344277942e+00 nan
-2.590267164682797052e+00 1.991063967049007399e-01 -7.796154146971186194e-02 3.700000000000000000e+02 7.637441130704322902e-10 -5.991464546344237974e+00 nan
-2.557477341859783149e+00 1.883673172294481890e-01 -8.066790306745480477e-02 3.690000000000000000e+02 7.637819001237657710e-10 -5.991464546344199782e+00 nan
-2.525728643545180230e+00 1.779532007527404314e-01 -8.338160893905106896e-02 3.680000000000000000e+02 7.639125937619791276e-10 -5.991464546344070108e+00 nan
-2.494956984878401229e+00 1.856916520070512888e-01 -8.610269905341172425e-02 3.670000000000000000e+02 7.639204100254150737e-10 -5.991464546344062114e+00 nan
-2.465104021728695916e+00 1.854825060611866028e-01 -8.883121370661574423e-02 3.660000000000000000e+02 7.639780625259274440e-10 -5.991464546344003494e+00 nan
-2.436116484855419095e+00 1.813898657348332888e-01 -9.156719352549048951e-02 3.650000000000000000e+02 7.640362471260893031e-10 -5.991464546343945763e+00 nan
-2.407945607888698270e+00 1.794543835403291376e-01 -9.431067947124133211e-02 3.640000000000000000e+02 7.640609404445902398e-10 -5.991464546343920894e+00 nan
-2.380546633700559855e+00 1.744795816081447237e-01 -9.706171284313121206e-02 3.630000000000000000e+02 7.640838657945013574e-10 -5.991464546343897801e+00 nan
-2.353878386618375007e+00 1.664373143245681252e-01 -9.982033528221093133e-02 3.620000000000000000e+02 7.641327849796919152e-10 -5.991464546343849840e+00 nan
-2.327902900215090831e+00 1.684460915183380869e-01 -1.025865887751010730e-01 3.610000000000000000e+02 7.641486169769929169e-10 -5.991464546343832964e+00 nan
