weight logl A B
2.499999999901372782e-03 3.449906885747056970e-14 8.167898601175097584e-01 6.398120698862395095e-01
2.499999999901372782e-03 3.459528227383187404e-14 6.133974577595203703e-01 7.191125430539817565e-01
2.499999999901370614e-03 3.467437326079184323e-14 4.306102097357238367e-01 7.889109059533767621e-01
2.499999999901372782e-03 3.477020336563026539e-14 5.546856378258382403e-01 7.905878819410906422e-01
2.499999999901370614e-03 3.487630852174364212e-14 5.629707673148117708e-01 7.224470816316722610e-01
2.499999999901372782e-03 3.535879076917141391e-14 4.612881778713961989e-01 7.958805496308364313e-01
2.499999999901374951e-03 3.545338481300717343e-14 2.001123887788713862e-02 7.272245111775151871e-01
2.499999999901374951e-03 3.554805893421526072e-14 5.027462452542255100e-01 7.220794107880665891e-01
2.499999999901374951e-03 3.562858290592108413e-14 3.307067428213438243e-01 7.982397613946041748e-01
2.499999999901372782e-03 3.563000910269622903e-14 4.632913733278636315e-01 7.984037175403700948e-01
2.499999999901372782e-03 3.565572167370404115e-14 3.848148855255217882e-01 7.985325632805739815e-01
2.499999999901374951e-03 3.566232438653025136e-14 7.463365851256533734e-01 7.992803358645732548e-01
2.499999999901374951e-03 3.589204623424386165e-14 7.648626083015143129e-01 6.716136732080310034e-01
2.499999999901374951e-03 3.597044933507732010e-14 4.326138723171801814e-02 8.013009144316173282e-01
2.499999999901377553e-03 3.601163365942827969e-14 2.194574168456213670e-01 7.238438206437769473e-01
2.499999999901377553e-03 3.612073894299686157e-14 6.200921993881612915e-01 8.030038258541032370e-01
2.499999999901374951e-03 3.627801195635600775e-14 5.816328728948204629e-01 7.135780655974801601e-01
2.499999999901379721e-03 3.687911169916408702e-14 6.319519831683891864e-01 7.055444159646018232e-01
2.499999999901379721e-03 3.745785398937699742e-14 7.512138684729267046e-01 6.727114934618394493e-01
2.499999999901379721e-03 3.767642340962392984e-14 4.006968590224261328e-01 7.150204461890002916e-01
2.499999999901381890e-03 3.775257366503184451e-14 7.451482153228897731e-01 8.146070218496026527e-01
2.499999999901381890e-03 3.812468449674704534e-14 7.293839465750086015e-01 8.175338368955432644e-01
2.499999999901379721e-03 3.853425177240801115e-14 2.357533975627330580e-01 7.131170098366177434e-01
2.499999999901384058e-03 3.866147894587562361e-14 1.800440579559122733e-01 8.229472301216569363e-01
2.499999999901381890e-03 3.912826881783156544e-14 4.903844799282703892e-01 8.262374789904910477e-01
2.499999999901384058e-03 3.928447007412053204e-14 4.944114832540529303e-01 8.273641842827076376e-01
2.499999999901384058e-03 3.948137169817175661e-14 1.423220876449882155e-02 8.289721678169247321e-01
2.499999999901386227e-03 3.952916401135297893e-14 5.916108790600341782e-01 8.288358311572593395e-01
2.499999999901384058e-03 3.990044822148221646e-14 1.503815227004456911e-01 7.088227257726024133e-01
2.499999999901386227e-03 4.026783811314734155e-14 9.379838735584069553e-01 4.111594681754856540e-01
2.499999999901386227e-03 4.036169272112962596e-14 1.769639393059734278e-01 7.073966720155160370e-01
2.499999999901388395e-03 4.058670380189658008e-14 2.683214051383965293e-01 8.368454328081699201e-01
2.499999999901386227e-03 4.112612287897652680e-14 1.382302950935124786e-01 8.406567590659310696e-01
2.499999999901390563e-03 4.144429117992327715e-14 2.832640292213972621e-02 7.045114426537559815e-01
2.499999999901388395e-03 4.169686453344550743e-14 2.034938073395041735e-01 8.446289594757128150e-01
2.499999999901390563e-03 4.206257369135226693e-14 4.520592413778469210e-01 7.004269584436260132e-01
2.499999999901392732e-03 4.272958253779628941e-14 1.474173227753566850e-01 7.011265964771915549e-01
2.499999999901392732e-03 4.290081200789942383e-14 3.815847719059503040e-01 8.528772895453418101e-01
2.499999999901390563e-03 4.303233124876251295e-14 5.123206272590929977e-02 8.538774398375754693e-01
2.499999999901392732e-03 4.306803466428226218e-14 5.568048904177680392e-02 8.541232642870754121e-01
2.499999999901392732e-03 4.327155496856757762e-14 7.531683229281551650e-01 6.559708326839711612e-01
2.499999999901392732e-03 4.347238281742619937e-14 2.412141491708560403e-01 8.568856184594908498e-01
2.499999999901397502e-03 4.408330357609820719e-14 3.454136722801940396e-01 6.971864001557982471e-01
2.499999999901397502e-03 4.440785767705051630e-14 1.520477440195480145e-01 8.633438440233280886e-01
2.499999999901397502e-03 4.449087439685265511e-14 4.471848412680410334e-01 8.637396758625628390e-01
2.499999999901397502e-03 4.486812784064309679e-14 2.859920748772886157e-01 8.664891016354439035e-01
2.499999999901399671e-03 4.576372731206971062e-14 2.222926818366209867e-01 6.942444538420080580e-01
2.499999999901401839e-03 4.577977447985130719e-14 5.903666438040020559e-01 6.854421483692235695e-01
2.499999999901399671e-03 4.628449576418688023e-14 4.509261441247648383e-01 8.761643642351655270e-01
2.499999999901401839e-03 4.662371758735980470e-14 4.754053166822541643e-01 8.784872981853458773e-01
2.499999999901404008e-03 4.702596951985792546e-14 9.230212862607187763e-01 8.649331368419258537e-01
2.499999999901401839e-03 4.721948935822473180e-14 4.808408875421160689e-01 8.826657637753682062e-01
2.499999999901401839e-03 4.746603616141160583e-14 5.478476052487548653e-01 8.841875197218735938e-01
2.499999999901404008e-03 4.763112144083037523e-14 2.581922611001538082e-01 8.858069405716942901e-01
2.499999999901406176e-03 4.812357408306120432e-14 3.648837620963928385e-01 8.892614112412156047e-01
2.499999999901404008e-03 4.826580009706379134e-14 9.849221548718479768e-01 8.606440197208026222e-01
2.499999999901408344e-03 4.850127912341197337e-14 7.738016623329035948e-02 6.892758744834711626e-01
2.499999999901406176e-03 4.885736600444006937e-14 6.154413810055904266e-01 8.937491863425337524e-01
2.499999999901406176e-03 4.920746139042312964e-14 3.105950703781003019e-01 8.971239658670219219e-01
2.499999999901408344e-03 4.937441427321315430e-14 4.394845816222999746e-01 8.982238397894845017e-01
2.499999999901410513e-03 4.957208206615978991e-14 5.582627310615695393e-01 6.807661385108078056e-01
2.499999999901408344e-03 4.969956894238278050e-14 6.928733805390423495e-01 6.630051840689152876e-01
2.499999999901408344e-03 4.970979711505063206e-14 1.376399504141835317e-01 6.871279037025648240e-01
2.499999999901408344e-03 4.999138941177884751e-14 3.800946931607220858e-01 9.028401937126970811e-01
2.499999999901410513e-03 5.011532480319238867e-14 6.347276530836319930e-01 9.028303712624518029e-01
2.499999999901408344e-03 5.014545181471144615e-14 3.707486543360049014e-01 9.039921474110219624e-01
2.499999999901410513e-03 5.032699714716043329e-14 7.808687658053103942e-02 9.054285469033894751e-01
2.499999999901412681e-03 5.107264030003398876e-14 6.556617787322693847e-01 9.098322876109594670e-01
2.499999999901412681e-03 5.140589279277729672e-14 1.949428764328949848e-01 9.135742493451762813e-01
2.499999999901417452e-03 5.227424603711151962e-14 9.248134609234263115e-01 9.058241407577029003e-01
2.499999999901417452e-03 5.240674918299448681e-14 6.738493883063459977e-01 9.199790073308841132e-01
2.499999999901417452e-03 5.256307073978617280e-14 8.481294279021300841e-01 9.156427484579958698e-01
2.499999999901417452e-03 5.260526066498758321e-14 4.382875756337653028e-01 9.227720684888158775e-01
2.499999999901417452e-03 5.330856122602233374e-14 7.602790507571408618e-01 9.255705214866275510e-01
2.499999999901419620e-03 5.335688988404213981e-14 4.378820143504494888e-01 9.287931776095917913e-01
2.499999999901417452e-03 5.358591813625159328e-14 5.515666525517707308e-01 9.303768571820565381e-01
2.499999999901419620e-03 5.401727202582412404e-14 3.552982482556557020e-01 9.342792640526538239e-01
2.499999999901419620e-03 5.439675909938739604e-14 7.345791883115531107e-01 9.352526849793906250e-01
2.499999999901419620e-03 5.454079547993403458e-14 9.197344162688592117e-01 9.261084651897907305e-01
2.499999999901421788e-03 5.495198759778374006e-14 6.915283726007112053e-01 9.407240807776476865e-01
2.499999999901423957e-03 5.558277964798151752e-14 5.242892977649176167e-01 9.473475688220007740e-01
2.499999999901426125e-03 5.564697942669260062e-14 6.455072343634464804e-01 6.627222243079449182e-01
2.499999999901426125e-03 5.604119381183909184e-14 8.496993807431302281e-01 9.455899542607417718e-01
2.499999999901423957e-03 5.617233376874138496e-14 6.513714306135264254e-01 9.519027861525565237e-01
2.499999999901423957e-03 5.632283471610211295e-14 9.141815099047263526e-01 9.432043110910300898e-01
2.499999999901426125e-03 5.634207676475209300e-14 2.738770297621947458e-01 6.768866819469692153e-01
2.499999999901426125e-03 5.636129601542098047e-14 8.354603093229399091e-01 9.492974819149568866e-01
2.499999999901426125e-03 5.662162909474794354e-14 2.125149281437491711e-01 9.569115144065556411e-01
2.499999999901428294e-03 5.663431654846781268e-14 4.630596645383736609e-01 9.568769356293947981e-01
2.499999999901426125e-03 5.673478759744781834e-14 9.105081020612735276e-01 9.475347923886201507e-01
2.499999999901428294e-03 5.691121726926480447e-14 8.876541481874760109e-01 9.512399982519794683e-01
2.499999999901428294e-03 5.721709632739709219e-14 4.282060399866862710e-01 9.623071872758307554e-01
2.499999999901430462e-03 5.739891153228392175e-14 6.054174402199106186e-01 9.635348975457275200e-01
2.499999999901428294e-03 5.760640774645872612e-14 6.683804944094579037e-01 9.650412035869438965e-01
2.499999999901430462e-03 5.776663655416204048e-14 7.065851510104911304e-01 9.661374287508035508e-01
2.499999999901430462e-03 5.779591190869811730e-14 8.433515571176455339e-01 5.573442694568873090e-01
2.499999999901428294e-03 5.807458581161917648e-14 3.781428501149142196e-01 9.705276019681901012e-01
2.499999999901428294e-03 5.811758810213189159e-14 8.726060825260570919e-01 9.642145094492624580e-01
2.499999999901430462e-03 5.831692167267887529e-14 6.247715283514755358e-01 9.722884733007330915e-01
2.499999999901433064e-03 5.836921085279680532e-14 8.797804518262413165e-01 9.663113955668076738e-01
2.499999999901435233e-03 5.932658620814120921e-14 3.825358443339966774e-01 9.830804781143706039e-01
2.499999999901435233e-03 5.935111571325577125e-14 8.529553509367717723e-01 9.781253816424678726e-01
2.499999999901433064e-03 5.952723825508169999e-14 7.529486007165016037e-01 9.831673799544689007e-01
2.499999999901433064e-03 5.985147058639129007e-14 3.640711113312000702e-01 9.885996071615509306e-01
2.499999999901435233e-03 5.987095996468565600e-14 5.089439523437024882e-01 9.886498801892767974e-01
2.499999999901433064e-03 5.988643320574160356e-14 3.624884191252574217e-01 9.889729096776518347e-01
2.499999999901435233e-03 6.000986040129623216e-14 9.051496534998114685e-01 4.445161132771913159e-01
2.499999999901437401e-03 6.015113925115490143e-14 3.317907523413697879e-01 9.918299576048058563e-01
2.499999999901435233e-03 6.024217047691838547e-14 4.172753712882416588e-01 9.927687114292456094e-01
2.499999999901437401e-03 6.029974741276625021e-14 1.153766862713089258e-01 9.934799603878566865e-01
2.499999999901437401e-03 6.033241300582250779e-14 2.417692610502042427e-02 9.938398284310719921e-01
2.499999999901435233e-03 6.041376102766670522e-14 8.375886406585730803e-02 9.947293486388716355e-01
2.499999999901435233e-03 6.078486726464597905e-14 7.535332123725396736e-01 9.969325600945684318e-01
2.499999999901437401e-03 6.084452059689516613e-14 2.718644339473071936e-01 9.995011229367910532e-01
