A B
1.063794979205507971e+07 6.064692469999250770e+07
1.423752702646030486e+07 5.141453305036852136e+06
1.716445845215804875e+06 2.021322463559248298e+07
3.120348752370455116e+07 1.186262342187402770e+07
2.583604154960801825e+07 1.269997100137198577e+06
3.946807178009152878e+06 2.554715763485917449e+07
1.518981339313857257e+07 1.775626330512331799e+06
5.688620604097904265e+07 9.847781101327445358e+06
4.286493120767067187e+06 7.270012353353666142e+06
1.956262131308508338e+06 6.341139463143991306e+06
2.482064165303761512e+07 2.103501422133710980e+07
2.099804320914927870e+06 9.601070840394501388e+07
2.213477132480918616e+07 3.494900985866019037e+06
3.208561421534334123e+07 1.105727361861729994e+06
1.327287906248778105e+06 1.965258927388475509e+06
6.973537236084761098e+06 1.175721535957877757e+06
1.215064754771640524e+07 6.582842974884959310e+07
4.865062675039715134e+06 1.441839064072703477e+06
1.202635826282336749e+07 2.067536797838339116e+06
6.491593192241531610e+07 9.075540598387533426e+07
1.505996561979807913e+07 2.721392485117512196e+07
3.373246540536587592e+06 2.850559141426768620e+06
3.304854996611027047e+07 7.742047832646475732e+07
3.011278963036314771e+07 4.629022654984338209e+06
2.441608530403655954e+06 7.415036313471032307e+06
1.453056668724113144e+07 2.950103570696263574e+06
3.106694630515424162e+07 5.401556023195920140e+07
1.081707195293185767e+06 1.099769528329516528e+06
9.713143921842765063e+06 7.032174589396718889e+06
4.256649134025424719e+06 1.475258279673227342e+06
1.698383135690034553e+07 5.826591024546047673e+06
4.788168790368832648e+06 6.095254812057938427e+06
1.716545343384444248e+06 4.308123211480210535e+06
1.835866296614906937e+07 8.296680389665430784e+07
1.518636636637649965e+06 2.376658335285424720e+06
1.447577680017348193e+07 8.067260697934678756e+06
4.027162976705656201e+07 8.143969339185061865e+06
6.141710046961423941e+06 1.562136037101420760e+07
6.049563972938345745e+06 1.304528187074276619e+06
5.000374730253993534e+06 1.141947576186088612e+06
3.695478160092720762e+06 1.770526298024618998e+07
9.319261526276336610e+07 1.339977993318874203e+07
2.839886355101305246e+07 5.978212248898942024e+07
3.536085804731278215e+06 3.792498898211337160e+06
2.345671560384246986e+06 3.049200221573770978e+06
1.010105259437895613e+06 3.568846550536530465e+07
7.672271156775139272e+07 3.104096607278664410e+07
2.327171567441027146e+06 1.115678947066414170e+07
3.960017721477323025e+07 3.590006491599314660e+07
1.419288393930618186e+06 2.200128660145214200e+07
5.995266768549018539e+06 1.198325793720142683e+06
5.441600942082463764e+06 1.658239477840511594e+06
1.876822141841382161e+07 2.197608911226730328e+06
4.778198749887820333e+06 5.747567958830492571e+06
9.515689613377833366e+07 2.254642875309390947e+06
1.116073261032506824e+06 1.007405440608349442e+07
1.059070946957141906e+07 3.259605561054428667e+07
2.700181991204071790e+07 3.127599248812594637e+07
3.030143878750252351e+07 3.175434282356209587e+06
2.024704337663321290e+06 1.129950526729645906e+06
1.757742705610881746e+07 6.126293752952511609e+07
4.243889816046628356e+07 8.315827073399719596e+07
9.555802597944483161e+06 5.507970283477033488e+06
1.141911371007574955e+06 4.394920423049131036e+07
7.095573394027544558e+07 2.149856459062696621e+07
2.796660059201425873e+06 4.530865532091344148e+07
4.318812910620429367e+07 1.037500982218211284e+06
4.171402481301776320e+07 2.418626456085786689e+06
1.501174411227192730e+06 4.889906930567368120e+07
3.067514138732679654e+06 1.299438514916915912e+06
4.442961151120120659e+06 1.028593293910600012e+06
1.514215180426224880e+07 3.194346611187856179e+06
8.502753384032458067e+07 1.126281351818945445e+07
4.810636045372584462e+07 2.689327412264409941e+06
4.214187291338752955e+06 1.800845930071603507e+06
7.456926465107492171e+06 1.475968877951673232e+06
1.324202650123978732e+06 9.147869724434766918e+06
7.581478520075432956e+07 1.471451547089910135e+06
9.300744859791098535e+07 3.693740015887248330e+06
6.648524016149090976e+07 4.856387334438064136e+06
1.521391432250011340e+07 5.129068909590590745e+06
8.712615599045591429e+06 1.379340584800330922e+06
2.818904655145948753e+06 8.417520628915367648e+06
3.772130778930081986e+06 5.510408423676256090e+07
1.164459959553639591e+07 5.194523570671726950e+06
1.287372595374002587e+06 2.378822695382536389e+06
1.649966948656118009e+06 6.001770528059727512e+06
1.703471799939382123e+06 4.339243212081005797e+06
1.601738761851697229e+06 2.086041273497563601e+07
1.499476057783636451e+07 1.586969324406828731e+07
1.906894581472127466e+06 1.916194963301583007e+07
7.886403402894573286e+06 3.546828668302579969e+07
5.975046336394092068e+06 6.353753356448325329e+06
2.754019404248842038e+06 2.242277214962983504e+06
2.653151207958996762e+06 2.616935611986211967e+06
5.626165959542576224e+07 9.294950647550934553e+07
3.120927342600670457e+07 3.055943509803346358e+06
8.012218105718959868e+07 3.190892260339107364e+06
4.525898448846241087e+07 3.892310872520913836e+06
1.962398555938321725e+07 4.311420825840310752e+07
3.534257489519540220e+07 1.359621947034528712e+06
2.958108361335347965e+07 1.350225317444259860e+07
1.292364288264847361e+07 3.279419508419785649e+06
3.168900470707541332e+07 6.435471799326980859e+07
1.440676930616948754e+06 5.318164246090097725e+07
5.268442029004148208e+06 3.750763496193876117e+07
8.713279053880443797e+06 1.910821248458904400e+07
5.896091858259487897e+06 1.223643194958426058e+06
1.390993108153927373e+06 2.795579600447622128e+06
1.265242271120826015e+06 9.191573771572312713e+07
1.807881263068212196e+07 3.221741377688518260e+06
8.507374315958766267e+06 2.218354474866577238e+07
7.299337466550515033e+06 2.240832878493862227e+07
5.904171889542584121e+07 9.737761935350358486e+06
6.309830039565825835e+06 2.311709078756836243e+06
3.407359503495163284e+06 9.547574658662058413e+06
1.325777756214814261e+06 1.865560148532064632e+07
1.072272657771448139e+06 9.831463659805290401e+07
2.566159205840825569e+06 3.256561010104424134e+07
2.709845679604631290e+07 6.578233123627322912e+07
7.072418263014994562e+07 6.249447844189580530e+07
8.713419764060901105e+07 3.240700839739679545e+07
5.084886812782125175e+07 2.190196663936483115e+07
8.711005961169025302e+07 1.680715713099738117e+06
7.996965698497748375e+07 1.610892251147625595e+07
3.569959474228536338e+07 7.966361204573558271e+07
3.448137624793597031e+06 2.799263300182376057e+07
