weight logl A B
2.499999999991247505e-03 7.634549793052407057e-10 5.651597420305805281e+06 1.238896467196790501e+06
2.499999999991383247e-03 7.635103941807860516e-10 8.331830144569803961e+06 1.245370957342232810e+06
2.499999999991418809e-03 7.635245951368154279e-10 2.668492453753793240e+07 1.196302291387160309e+06
2.499999999991744937e-03 7.636540323284171685e-10 3.067514138732679654e+06 1.299438514916915912e+06
2.499999999991869403e-03 7.637034317756304905e-10 6.049563972938345745e+06 1.304528187074276619e+06
2.499999999991969150e-03 7.637441130704322902e-10 5.406184676410248503e+06 1.318031965090076905e+06
2.499999999992064993e-03 7.637819001237657710e-10 2.583604154960801825e+07 1.269997100137198577e+06
2.499999999992388953e-03 7.639125937619791276e-10 9.540858545282324776e+06 1.356313757799411193e+06
2.499999999992408902e-03 7.639204100254150737e-10 9.508842664552766085e+07 1.124369077960076043e+06
2.499999999992555486e-03 7.639780625259274440e-10 8.712615599045591429e+06 1.379340584800330922e+06
2.499999999992699902e-03 7.640362471260893031e-10 2.482075567167316563e+06 1.416447715506414417e+06
2.499999999992761918e-03 7.640609404445902398e-10 1.684252825012759492e+07 1.382718949740472483e+06
2.499999999992819598e-03 7.640838657945013574e-10 1.945897633667312935e+07 1.382821913484480930e+06
2.499999999992939727e-03 7.641327849796919152e-10 4.865062675039715134e+06 1.441839064072703477e+06
2.499999999992981795e-03 7.641486169769929169e-10 3.534257489519540220e+07 1.359621947034528712e+06
2.499999999993061592e-03 7.641810819601029939e-10 1.149458369654085021e+06 1.469539706789292162e+06
2.499999999993168277e-03 7.642229964703264398e-10 4.256649134025424719e+06 1.475258279673227342e+06
2.499999999993170446e-03 7.642246571924160838e-10 7.334936653284108639e+07 1.281946673590001650e+06
2.499999999993237233e-03 7.642509854562559372e-10 7.456926465107492171e+06 1.475968877951673232e+06
2.499999999993321800e-03 7.642847062087786147e-10 1.256547824896619655e+06 1.506531266508073313e+06
2.499999999993548182e-03 7.643761848544087314e-10 8.548909905872082710e+07 1.305633566500929650e+06
2.499999999993570299e-03 7.643843703243868682e-10 9.891162015909170732e+06 1.518900966429845663e+06
2.499999999993590249e-03 7.643921301586032599e-10 2.659880404412379488e+06 1.543115156452063238e+06
2.499999999993881249e-03 7.645085608478353908e-10 1.377454492117832601e+07 1.557281163423251826e+06
2.499999999993990103e-03 7.645520239564967017e-10 7.362686202419844270e+07 1.407772938161796657e+06
2.499999999994012220e-03 7.645611641591347324e-10 9.182796142754351720e+06 1.592683469039279502e+06
2.499999999994081176e-03 7.645885160719528122e-10 2.148364307294956222e+07 1.568683223919871263e+06
2.499999999994127579e-03 7.646081219411451672e-10 3.432957797125529498e+06 1.629724154322180664e+06
2.499999999994227326e-03 7.646466107073824599e-10 8.518997951937194169e+07 1.417487197239755886e+06
2.499999999994321001e-03 7.646856150811087620e-10 5.441600942082463764e+06 1.658239477840511594e+06
2.499999999994385186e-03 7.647108598872139692e-10 7.581478520075432956e+07 1.471451547089910135e+06
2.499999999994494040e-03 7.647536203603548924e-10 7.668603499666488171e+07 1.488873478994438658e+06
2.499999999994620675e-03 7.648045361080296517e-10 1.405650306289572734e+06 1.725838256009844132e+06
2.499999999994671415e-03 7.648250665447522182e-10 1.029942283472365327e+07 1.709723996285479050e+06
2.499999999994682691e-03 7.648297849100207492e-10 2.660940337602041196e+06 1.734447512033626437e+06
2.499999999995029202e-03 7.649686779827819467e-10 4.214187291338752955e+06 1.800845930071603507e+06
2.499999999995064764e-03 7.649815721149746225e-10 1.518981339313857257e+07 1.775626330512331799e+06
2.499999999995113336e-03 7.650016343023628912e-10 2.894796030578959733e+06 1.822425519231894519e+06
2.499999999995144561e-03 7.650138250063441726e-10 8.382174955700710416e+07 1.600756639504853170e+06
2.499999999995419948e-03 7.651235753580870485e-10 2.076855095648238808e+07 1.838821616148343310e+06
2.499999999995437729e-03 7.651311398460086813e-10 1.445950304610955715e+07 1.861557948736204533e+06
2.499999999995533139e-03 7.651698818509741349e-10 8.711005961169025302e+07 1.680715713099738117e+06
2.499999999995699673e-03 7.652354750290866081e-10 1.261555325906672515e+07 1.930112363383375341e+06
2.499999999995706178e-03 7.652386911006575788e-10 1.327287906248778105e+06 1.965258927388475509e+06
2.499999999996012790e-03 7.653610042209803881e-10 3.660241311370132118e+07 1.942648177513279719e+06
2.499999999996030571e-03 7.653684162838639125e-10 3.184414045251915604e+07 1.961299765067690052e+06
2.499999999996205778e-03 7.654384065703514426e-10 1.202635826282336749e+07 2.067536797838339116e+06
2.499999999996443435e-03 7.655344762749235746e-10 7.788164796821677685e+07 1.951616218676159857e+06
2.499999999996454711e-03 7.655376644610636710e-10 1.920895210596689023e+06 2.170641459592228290e+06
2.499999999996530171e-03 7.655693326584396721e-10 2.569480832379901316e+06 2.193245759434919339e+06
2.499999999996663311e-03 7.656216995196904564e-10 2.222734029159786552e+07 2.177538160611197818e+06
2.499999999996687598e-03 7.656312623877506202e-10 2.754019404248842038e+06 2.242277214962983504e+06
2.499999999996694536e-03 7.656339817335623408e-10 1.876822141841382161e+07 2.197608911226730328e+06
2.499999999996696705e-03 7.656355906986310123e-10 3.955992489066638518e+06 2.242283424901419785e+06
2.499999999996785609e-03 7.656698146197683439e-10 1.477950048047880828e+07 2.239001647691457532e+06
2.499999999996789946e-03 7.656715492066355459e-10 6.127167226365562528e+07 2.107440715076403227e+06
2.499999999996914413e-03 7.657213072523699404e-10 2.111611802416231856e+07 2.264736485962240025e+06
2.499999999996920918e-03 7.657255369265163284e-10 6.309830039565825835e+06 2.311709078756836243e+06
