########################################################
# Number of Frequencies: 18432
# Measurement Time [s]: 0.281250
########################################################
1.564444444444e+02 2.948384375784e-06, 1.105181171191e-06 5.129516819773e-06
1.600000000000e+02 1.124357972095e-06, 4.670047112986e-07 1.833648907074e-06
1.635555555556e+02 2.305911746002e-06, 6.142472945463e-07 1.483209149120e-06
1.671111111111e+02 3.560880251624e-06, 7.226938663755e-07 1.613983234517e-06
1.706666666667e+02 7.388746561525e-07, 2.980652273282e-07 1.449607042466e-06
1.742222222222e+02 5.899653803537e-07, 5.087975800465e-07 2.780489089121e-06
1.777777777778e+02 1.210215134156e-06, 1.666822932655e-06 8.889020114602e-06
1.813333333333e+02 5.640604114814e-07, 2.563705021087e-07 1.625844029617e-06
1.848888888889e+02 8.613710443533e-07, 1.260630752652e-07 1.113416736117e-06
1.884444444444e+02 3.746033319115e-06, 1.325369239677e-07 1.963145507500e-06
1.920000000000e+02 1.605009121548e-06, 1.418197518573e-07 1.612355175263e-06
1.955555555556e+02 6.120919643751e-07, 1.057373737865e-07 1.164346922820e-06
1.991111111111e+02 9.130938562885e-07, 2.458129382467e-07 2.039222968127e-06
2.026666666667e+02 9.436921192193e-07, 3.508525002097e-07 2.070512715914e-06
2.062222222222e+02 3.588975227069e-07, 1.638566222395e-07 1.197318261073e-06
2.097777777778e+02 4.535747366794e-07, 1.831178186787e-07 1.283162545003e-06
2.133333333333e+02 9.998434707638e-07, 2.784398870958e-07 2.594182996856e-06
2.168888888889e+02 5.409821517900e-07, 1.334437916007e-07 9.614965510467e-07
2.204444444444e+02 7.461436043455e-07, 8.492987369097e-08 8.560028267362e-07
2.240000000000e+02 1.876452225518e-06, 1.151246442326e-07 1.500698226866e-06
2.275555555556e+02 9.962439162602e-07, 8.531964127733e-08 1.337619613601e-06
2.311111111111e+02 5.441031272745e-07, 9.570545752844e-08 1.116912424533e-06
2.346666666667e+02 9.074484840074e-07, 1.884670388328e-07 1.728431957122e-06
2.382222222222e+02 1.046237482183e-06, 2.440832483782e-07 2.068478685797e-06
2.417777777778e+02 5.887681415094e-07, 1.131732466328e-07 1.111074131770e-06
2.453333333333e+02 1.047824825209e-06, 2.436861922766e-07 1.726356123459e-06
2.488888888889e+02 1.801703106687e-06, 4.816947683552e-07 2.941139858824e-06
2.524444444444e+02 7.448990089427e-07, 2.098101497536e-07 1.772754950364e-06
2.560000000000e+02 5.982721982768e-07, 1.749725393192e-07 1.505374738696e-06
2.595555555556e+02 9.191532875715e-07, 1.730992233373e-07 2.116394319198e-06
2.631111111111e+02 6.133812491022e-07, 1.591438147365e-07 1.339701228493e-06
2.666666666667e+02 4.808115345195e-07, 1.373571440467e-07 1.093511839778e-06
2.702222222222e+02 7.540073103747e-07, 2.754597629183e-07 2.424847642248e-06
2.737777777778e+02 7.461527928642e-07, 2.763034946794e-07 2.376735668637e-06
2.773333333333e+02 4.327852438551e-07, 2.023246825793e-07 1.593773207627e-06
2.808888888889e+02 6.339737219514e-07, 3.005274590224e-07 1.504646226452e-06
2.844444444444e+02 7.891658110332e-07, 3.738248077315e-07 1.957634499970e-06
2.880000000000e+02 3.338590921472e-07, 2.198502099659e-07 1.291068497266e-06
2.915555555556e+02 2.884024288201e-07, 2.347184097834e-07 1.262359205247e-06
2.951111111111e+02 3.692585797734e-07, 2.869471328422e-07 1.901235136275e-06
2.986666666667e+02 2.864057878536e-07, 2.251149312302e-07 1.376718587116e-06
3.022222222222e+02 3.136932665515e-07, 2.074248085881e-07 9.605934081975e-07
3.057777777778e+02 4.464224946583e-07, 3.738621955678e-07 1.750776694830e-06
3.093333333333e+02 4.098712711749e-07, 3.488678686355e-07 1.830150416446e-06
3.128888888889e+02 2.379868239779e-07, 2.033356754128e-07 9.419320627435e-07
3.164444444444e+02 2.461746400857e-07, 2.372652026126e-07 9.906083209339e-07
3.200000000000e+02 2.263879514187e-07, 2.261783069302e-07 1.035615798514e-06
3.235555555556e+02 1.332835945374e-07, 2.033082751538e-07 9.508152197738e-07
3.271111111111e+02 1.557550968956e-07, 2.186348172941e-07 1.135452190338e-06
3.306666666667e+02 1.468260277108e-07, 2.075970682762e-07 1.302575533532e-06
3.342222222222e+02 9.905622254651e-08, 1.808699017687e-07 1.071128542922e-06
3.377777777778e+02 9.508718120888e-08, 1.255761750425e-07 7.690167167166e-07
3.413333333333e+02 1.042187361325e-07, 1.473335924633e-07 7.016847593845e-07
3.448888888889e+02 7.395659306575e-08, 1.250230377984e-07 7.105096106822e-07
3.484444444444e+02 6.867318471339e-08, 1.056233993591e-07 5.273566069644e-07
3.520000000000e+02 6.256113909566e-08, 1.415853722856e-07 7.217548752985e-07
3.555555555556e+02 5.241351460661e-08, 1.032174265045e-07 5.959868407733e-07
3.591111111111e+02 5.221686098486e-08, 1.005194914419e-07 5.411979519794e-07
3.626666666667e+02 5.426719183725e-08, 1.047178419510e-07 5.744430514784e-07
3.662222222222e+02 4.557870632610e-08, 7.729606054479e-08 6.138494787235e-07
3.697777777778e+02 2.489774541493e-08, 6.894494197785e-08 5.037112597559e-07
3.733333333333e+02 2.897921392459e-08, 6.879670245390e-08 4.076100487437e-07
3.768888888889e+02 2.484633739888e-08, 6.718923231885e-08 4.472115109301e-07
3.804444444444e+02 2.575426309364e-08, 5.057198240601e-08 4.312789951614e-07
3.840000000000e+02 2.262375307629e-08, 4.364952235178e-08 4.085250975239e-07
3.875555555556e+02 1.859589272699e-08, 5.035433698387e-08 3.993143645918e-07
3.911111111111e+02 1.988766898803e-08, 3.226969589814e-08 3.309037600216e-07
3.946666666667e+02 1.917279480017e-08, 2.359277139018e-08 3.094396603931e-07
3.982222222222e+02 2.368687286766e-08, 2.623789280288e-08 2.623174385641e-07
4.017777777778e+02 1.825130589919e-08, 3.157527511326e-08 2.782037377552e-07
4.053333333333e+02 1.359476226127e-08, 3.641289828947e-08 3.720049975659e-07
4.088888888889e+02 2.198601950704e-08, 3.230081422891e-08 3.077676991967e-07
4.124444444444e+02 1.976811532354e-08, 2.866327384091e-08 2.433295539506e-07
4.160000000000e+02 1.921670593826e-08, 2.266427189259e-08 2.047171054417e-07
4.195555555556e+02 1.536485676517e-08, 1.877992813748e-08 2.133952249789e-07
4.231111111111e+02 1.294579768764e-08, 3.269523547498e-08 2.960649547068e-07
4.266666666667e+02 1.346251692424e-08, 2.395720810476e-08 2.470853093334e-07
4.302222222222e+02 1.942098756034e-08, 2.538847269407e-08 2.615405941231e-07
4.337777777778e+02 1.618336749657e-08, 2.187228571271e-08 2.181659226854e-07
4.373333333333e+02 1.814204390876e-08, 2.326961868223e-08 2.313466395342e-07
4.408888888889e+02 1.689636560787e-08, 2.341525816599e-08 1.648292041143e-07
4.444444444444e+02 1.848106458122e-08, 2.181532173596e-08 2.076711590332e-07
4.480000000000e+02 1.890677360176e-08, 1.938171381833e-08 1.775442625617e-07
4.515555555556e+02 1.749861122704e-08, 1.979028615706e-08 1.549997480666e-07
4.551111111111e+02 1.629569609825e-08, 1.901280061528e-08 1.491224522964e-07
4.586666666667e+02 1.300727224465e-08, 2.207801155021e-08 1.959866244094e-07
4.622222222222e+02 1.478059456220e-08, 1.784789441993e-08 1.493058913981e-07
4.657777777778e+02 1.826728015128e-08, 1.867886058821e-08 1.541703658181e-07
4.693333333333e+02 1.689678130393e-08, 1.427686117170e-08 1.453943420805e-07
4.728888888889e+02 1.562741922380e-08, 1.223606218624e-08 9.703763145395e-08
4.764444444444e+02 1.702739692941e-08, 1.922405247934e-08 1.188577402799e-07
4.800000000000e+02 2.039985945787e-08, 1.587386138316e-08 1.351794856831e-07
4.835555555556e+02 1.527101354895e-08, 1.822106489248e-08 1.391187228230e-07
4.871111111111e+02 1.223858407245e-08, 1.346292616675e-08 1.276198325485e-07
4.906666666667e+02 1.772130440809e-08, 1.170946173187e-08 1.435268457872e-07
4.942222222222e+02 1.652762413888e-08, 1.217694480408e-08 1.086191006915e-07
4.977777777778e+02 1.311310569057e-08, 1.938678819526e-08 1.197330764691e-07
5.013333333333e+02 1.460649366950e-08, 1.149441226024e-08 9.075169938332e-08
5.048888888889e+02 1.431223430850e-08, 1.130305588648e-08 1.126427320865e-07
5.084444444444e+02 1.662681707796e-08, 1.087204450878e-08 1.009324402814e-07
5.120000000000e+02 1.750402735301e-08, 1.711144925138e-08 8.870650690025e-08
5.155555555556e+02 1.368578571193e-08, 1.280826328795e-08 1.166459585766e-07
5.191111111111e+02 1.353869815763e-08, 1.203886089401e-08 9.062335046334e-08
5.226666666667e+02 8.846626491841e-09, 1.431480203824e-08 1.384098900905e-07
5.262222222222e+02 1.179482836069e-08, 8.414993108892e-09 1.213880080776e-07
5.297777777778e+02 1.536336181117e-08, 9.705841235329e-09 1.007804818623e-07
5.333333333333e+02 1.191788586799e-08, 1.153391139411e-08 8.777340052042e-08
5.368888888889e+02 1.403863715695e-08, 1.120185503627e-08 1.199352919676e-07
5.404444444444e+02 1.257612648405e-08, 8.550909166167e-09 1.127102108519e-07
5.440000000000e+02 1.760060846367e-08, 7.320059049268e-09 9.749004049729e-08
5.475555555556e+02 1.361229473686e-08, 9.135555008245e-09 8.277124677222e-08
5.511111111111e+02 1.082743461338e-08, 1.110737110329e-08 9.054968130049e-08
5.546666666667e+02 1.128047997095e-08, 9.692512301341e-09 1.041001572532e-07
5.582222222222e+02 7.902669895333e-09, 1.017809036036e-08 1.035111649886e-07
5.617777777778e+02 8.353845558708e-09, 1.058632728701e-08 1.226709064644e-07
5.653333333333e+02 1.113367593645e-08, 9.297817097223e-09 9.921609785706e-08
5.688888888889e+02 9.157001768729e-09, 1.077647875372e-08 1.077483189530e-07
5.724444444444e+02 8.785344082271e-09, 1.075048703877e-08 6.822600172658e-08
5.760000000000e+02 7.394992083121e-09, 7.557945528786e-09 9.761483966772e-08
5.795555555556e+02 8.856525240808e-09, 9.039566727195e-09 1.013549335625e-07
5.831111111111e+02 7.932429123591e-09, 7.426828484102e-09 8.949600326278e-08
5.866666666667e+02 1.019190812901e-08, 9.178407899426e-09 8.021405101333e-08
5.902222222222e+02 8.966580858074e-09, 9.422158617486e-09 9.004442095555e-08
5.937777777778e+02 5.396756663079e-09, 8.741368215732e-09 9.881947286730e-08
5.973333333333e+02 9.605114895823e-09, 9.108425017757e-09 7.662063733351e-08
6.008888888889e+02 4.998738419385e-09, 6.435671873098e-09 9.015475070375e-08
6.044444444444e+02 8.957985852970e-09, 7.365700754735e-09 7.931199505632e-08
6.080000000000e+02 6.071539950872e-09, 6.760902796002e-09 6.809233312538e-08
6.115555555556e+02 8.210737903263e-09, 8.631821568521e-09 7.016997710006e-08
6.151111111111e+02 6.235776148766e-09, 7.554060941324e-09 7.839677955417e-08
6.186666666667e+02 6.080383463926e-09, 5.477187313030e-09 7.855601679150e-08
6.222222222222e+02 9.217320005665e-09, 5.896948797698e-09 6.358622460314e-08
6.257777777778e+02 6.454949382474e-09, 6.497084711129e-09 8.171075331839e-08
6.293333333333e+02 7.486995830067e-09, 6.252611753104e-09 6.819001880542e-08
6.328888888889e+02 6.543031778919e-09, 7.212745463969e-09 6.138195770413e-08
6.364444444444e+02 5.941799816033e-09, 7.751748947864e-09 8.453933459696e-08
6.400000000000e+02 8.157886543321e-09, 6.172493551614e-09 6.140441337109e-08
6.435555555556e+02 8.412196026876e-09, 6.032436178119e-09 6.520487657292e-08
6.471111111111e+02 6.284806534193e-09, 6.616150990351e-09 5.030353138264e-08
6.506666666667e+02 4.781826321097e-09, 6.994626730766e-09 6.793555922053e-08
6.542222222222e+02 7.376794629247e-09, 5.155707601457e-09 5.429402500934e-08
6.577777777778e+02 6.510762173378e-09, 7.142733255324e-09 5.857445705276e-08
6.613333333333e+02 6.435821870532e-09, 6.157598990433e-09 5.864941343198e-08
6.648888888889e+02 7.049220734622e-09, 4.087583785156e-09 4.965601686962e-08
6.684444444444e+02 6.095847116165e-09, 7.645228566684e-09 6.940915394521e-08
6.720000000000e+02 3.443137350398e-09, 5.529377130481e-09 7.089118940836e-08
6.755555555556e+02 6.994167184554e-09, 5.576070099506e-09 6.020070497440e-08
6.791111111111e+02 4.913259832488e-09, 5.742613313111e-09 6.097065409242e-08
6.826666666667e+02 5.481887451061e-09, 5.377713113198e-09 5.417245199797e-08
6.862222222222e+02 5.232842483265e-09, 5.121754164886e-09 6.028379446752e-08
6.897777777778e+02 5.840769232226e-09, 6.265422877826e-09 5.916570019439e-08
6.933333333333e+02 5.346282392536e-09, 4.267125032433e-09 5.275650111302e-08
6.968888888889e+02 4.550424652357e-09, 5.067360606974e-09 5.197565685839e-08
7.004444444444e+02 6.753818904226e-09, 5.200225861854e-09 5.882628045241e-08
7.040000000000e+02 4.916260346403e-09, 4.415108470279e-09 4.206239530196e-08
7.075555555556e+02 3.804431223669e-09, 4.455581191669e-09 5.018710978131e-08
7.111111111111e+02 4.584519791834e-09, 5.622817181572e-09 4.496731683920e-08
7.146666666667e+02 6.055065655646e-09, 4.801048196270e-09 5.421118304367e-08
7.182222222222e+02 3.603717082445e-09, 2.793534111090e-09 4.975975628343e-08
7.217777777778e+02 4.907701729452e-09, 5.749419621405e-09 5.079748603657e-08
7.253333333333e+02 5.025541736705e-09, 5.326089110151e-09 6.912288850828e-08
7.288888888889e+02 5.156241167197e-09, 4.804769023701e-09 5.975929378005e-08
7.324444444444e+02 6.271380695787e-09, 4.912349664538e-09 5.223493131739e-08
7.360000000000e+02 5.651331820356e-09, 3.433201033540e-09 5.207253690056e-08
7.395555555556e+02 6.460495127292e-09, 3.816625383603e-09 4.508190734131e-08
7.431111111111e+02 4.104466504540e-09, 5.394470670546e-09 5.074819705676e-08
7.466666666667e+02 4.395404749226e-09, 4.984589267981e-09 4.573526786720e-08
7.502222222222e+02 4.650449926254e-09, 4.057352177964e-09 4.476840027769e-08
7.537777777778e+02 4.683597874910e-09, 2.679153896945e-09 3.635928629580e-08
7.573333333333e+02 4.476052355917e-09, 4.489810620367e-09 5.581581229678e-08
7.608888888889e+02 4.619554827481e-09, 4.339811746930e-09 4.455432073614e-08
7.644444444444e+02 6.239279665897e-09, 4.438544632365e-09 5.389592239497e-08
7.680000000000e+02 4.778915183158e-09, 4.572976669301e-09 4.079041193357e-08
7.715555555556e+02 6.206981311765e-09, 4.136939252833e-09 3.813397745702e-08
7.751111111111e+02 1.470001399449e-08, 7.026162362753e-09 5.272944264008e-08
7.786666666667e+02 8.044631147864e-09, 7.764994020416e-09 5.242610022337e-08
7.822222222222e+02 4.971007383473e-09, 3.851653958244e-09 3.700374587323e-08
7.857777777778e+02 3.974312590322e-09, 3.890752460508e-09 4.210952537702e-08
7.893333333333e+02 6.886854277482e-09, 4.237640714278e-09 4.315316110259e-08
7.928888888889e+02 3.246771165363e-09, 4.821784980346e-09 4.781069261177e-08
7.964444444444e+02 5.256583667259e-09, 4.635886588606e-09 4.807249756593e-08
8.000000000000e+02 4.238625539142e-08, 3.084532223998e-08 3.761337384790e-07
8.035555555556e+02 5.054259363073e-09, 3.502248185253e-09 4.807427641088e-08
8.071111111111e+02 5.072119155989e-09, 5.458053114618e-09 3.916319848579e-08
8.106666666667e+02 5.503267460105e-09, 4.446825846125e-09 3.502241686610e-08
8.142222222222e+02 4.706643574816e-09, 3.822823334220e-09 5.236615915238e-08
8.177777777778e+02 3.797208149252e-09, 3.665750127310e-09 5.132818196820e-08
8.213333333333e+02 4.027966639806e-09, 4.989693398779e-09 5.541354180747e-08
8.248888888889e+02 1.518896181529e-08, 5.039428711130e-09 4.781386247690e-08
8.284444444444e+02 4.075821497650e-09, 3.889001997502e-09 3.672235453217e-08
8.320000000000e+02 5.319021844254e-09, 4.311423381482e-09 3.673502204804e-08
8.355555555556e+02 4.879502492647e-09, 3.215419825416e-09 3.691153427456e-08
8.391111111111e+02 3.239888704572e-09, 3.142205189606e-09 3.765355033187e-08
8.426666666667e+02 4.378821822073e-09, 3.423508545026e-09 3.791506056568e-08
8.462222222222e+02 4.163152016731e-09, 3.495506911757e-09 4.171941560159e-08
8.497777777778e+02 3.946172333387e-09, 3.489924118949e-09 4.480424065279e-08
8.533333333333e+02 2.617153704845e-09, 3.674326708708e-09 3.288092510423e-08
8.568888888889e+02 4.509901807843e-09, 3.280162674781e-09 3.020152471955e-08
8.604444444444e+02 3.954512195119e-09, 2.957631780082e-09 4.031974833931e-08
8.640000000000e+02 2.823509347904e-09, 3.633085562964e-09 3.072368858724e-08
8.675555555556e+02 4.549020870429e-09, 3.131160752269e-09 3.317574681562e-08
8.711111111111e+02 4.224870588589e-09, 2.962236415354e-09 3.480846447766e-08
8.746666666667e+02 4.081259194852e-09, 2.430246401787e-09 3.451620793293e-08
8.782222222222e+02 3.389241493024e-09, 3.112924405237e-09 3.759745926814e-08
8.817777777778e+02 2.831709715468e-09, 2.887827015554e-09 3.326535641910e-08
8.853333333333e+02 2.877542227385e-09, 2.958458149060e-09 3.246323625234e-08
8.888888888889e+02 3.334029335321e-09, 3.783466444858e-09 3.751612909158e-08
8.924444444444e+02 4.053095391996e-09, 2.785649358382e-09 3.915701196228e-08
8.960000000000e+02 4.010023157118e-09, 3.050608827525e-09 3.173305749975e-08
8.995555555556e+02 3.012465746399e-09, 2.803485678393e-09 3.589832173200e-08
9.031111111111e+02 3.578283634678e-09, 3.100038262675e-09 2.989271227609e-08
9.066666666667e+02 3.707488459087e-09, 3.239436535803e-09 3.389341754335e-08
9.102222222222e+02 3.706791635668e-09, 2.348473808762e-09 2.940134127686e-08
9.137777777778e+02 3.128357628323e-09, 3.683043985585e-09 3.198210990999e-08
