########################################################
# Number of Frequencies: 18432
# Measurement Time [s]: 0.281250
########################################################
3.200000000000e+02 6.674108158457e-08, 4.113082772553e-09 1.493902418155e-08
3.235555555556e+02 8.496040147690e-08, 2.803284567622e-09 2.191569180426e-08
3.271111111111e+02 4.392152169010e-08, 1.952377382549e-09 1.244936577875e-08
3.306666666667e+02 5.692530287982e-08, 5.068888048957e-09 1.597709021690e-08
3.342222222222e+02 8.292129995697e-08, 4.272979827021e-09 2.706529131564e-08
3.377777777778e+02 4.248479435981e-08, 4.520315493266e-09 2.518886629081e-08
3.413333333333e+02 5.484661369022e-08, 2.541874147030e-09 1.771392784853e-08
3.448888888889e+02 3.478986004174e-08, 3.578974981616e-09 1.640620127278e-08
3.484444444444e+02 5.152838259005e-08, 2.498951032719e-09 4.606321991543e-08
3.520000000000e+02 4.352465876553e-08, 3.252774471179e-09 1.624392258778e-08
3.555555555556e+02 3.723422674416e-08, 3.581573565589e-09 3.104982769134e-08
3.591111111111e+02 5.843962912865e-08, 2.631404168289e-09 6.255100028606e-08
3.626666666667e+02 5.374559135164e-08, 1.253532022128e-09 3.025359828978e-07
3.662222222222e+02 2.987121387912e-08, 2.946244004403e-09 4.905120813922e-07
3.697777777778e+02 5.794251038034e-08, 1.956684374447e-09 6.178928021868e-08
3.733333333333e+02 5.922459005078e-08, 4.829792429741e-09 2.846669002637e-08
3.768888888889e+02 3.527185611097e-08, 2.746487303613e-09 2.695134975645e-08
3.804444444444e+02 6.050900828755e-08, 3.746360595191e-09 1.609524690503e-08
3.840000000000e+02 3.458238099016e-08, 3.716812589613e-09 1.280758731242e-08
3.875555555556e+02 3.362646574930e-08, 2.607068449294e-09 5.600535548713e-09
3.911111111111e+02 5.457997341623e-08, 1.767689480435e-09 2.008639005272e-08
3.946666666667e+02 3.741630051926e-08, 3.452496864265e-09 1.589479657689e-08
3.982222222222e+02 2.527006802608e-08, 3.734048737364e-09 1.129308951689e-08
4.017777777778e+02 3.892652212295e-08, 2.636223050273e-09 1.201357067194e-08
