Top Right Quadrant,Bottom Right Quadrant,Top Left Quadrant, Bottom Left Quadrant,times [s]
0.418477664412621,0.432815698914862,0.400048628735893,0.413651701592851,0.00999
0.410566453881648,0.445050329037638,0.386662469576216,0.418792849341536,0.01009
0.423046799279422,0.445082035763845,0.38853573090035,0.408487164622652,0.01019
0.407403323764884,0.433898131175339,0.401044194509163,0.426981131716677,0.01029
0.401886984518732,0.422735321125942,0.410457303967092,0.431791000465749,0.01039
0.401486553461418,0.418575645160599,0.414020470229953,0.43170265441767,0.01049
0.401083716898223,0.417511799740979,0.415452974804929,0.432571161775303,0.01059
0.410556553415959,0.419347725362182,0.412896870114105,0.421762680874294,0.01069
0.402247343616764,0.422599045396546,0.408280913405404,0.429027114526911,0.01079
0.392963310063964,0.413615540945708,0.417182457018344,0.439378275887718,0.01089
0.398884458270165,0.425395950772889,0.407086500652763,0.434223170619417,0.01099
0.405167749972528,0.435487086970287,0.397737999266718,0.427425736640076,0.01109
0.413084872995991,0.439922513983925,0.392623077294567,0.418042264391413,0.01119
0.422907835117697,0.419659649028989,0.412238741290752,0.409089126013668,0.01129
0.407617580226537,0.42171644038433,0.411919279672606,0.426199638402835,0.01139
0.406368279741079,0.404205759251637,0.429244017571376,0.426944160946381,0.01149
0.4018060170659,0.407198397749424,0.425362427350381,0.431117198614222,0.01159
0.418120937557392,0.42003148413727,0.412312624982263,0.414162445167414,0.01169
0.408481517411006,0.408487090554398,0.422997011388264,0.423004872241286,0.01179
0.411304177124673,0.405736488454807,0.427048702780284,0.421248576523575,0.01189
0.415419743015706,0.435720689679114,0.397155581632398,0.416436379607428,0.01199
0.407256601300584,0.442236494925578,0.39064881269016,0.424037028198978,0.01209
0.401252096753567,0.426590482094584,0.406200908841395,0.431886011718745,0.01219
0.413465611582294,0.420933785901091,0.40966473081156,0.417051590277461,0.01229
0.438445234935117,0.43198213272934,0.40065169496828,0.39479911857501,0.01239
0.434749554143886,0.424900993922247,0.407863081817121,0.398731032302579,0.01249
0.432861092251236,0.435797515164611,0.396812606563465,0.399468638356863,0.01259
0.426381081177672,0.423117603795783,0.410046951215178,0.406932774612731,0.01269
0.403780306545028,0.417041690619979,0.413033263603674,0.426649382248946,0.01279
0.413237362372477,0.419096756804734,0.412520124211173,0.418399129541448,0.01289
0.430856415988471,0.412058261258153,0.418127577344043,0.399997541339603,0.01299
0.435938823464734,0.403569539733976,0.428073325870478,0.396376306321667,0.01309
0.461515263119486,0.418009341056743,0.411814635498795,0.373552006365053,0.01319
0.425694209354283,0.397906024862204,0.434556498992589,0.406103245050727,0.01329
0.414655910239583,0.390632487317452,0.442685830247421,0.416738009083032,0.01339
0.406045619206187,0.405223098860975,0.428050684423537,0.427190235245019,0.01349
0.410568868356037,0.411284417629367,0.420450873838656,0.421350300990127,0.01359
0.412372559105271,0.407590339850029,0.423310138335441,0.41842447671613,0.01369
0.402830696455512,0.40452877489925,0.42453305384102,0.426382889410312,0.01379
0.408226215437172,0.39992780138108,0.432820798405707,0.423942610268072,0.01389
0.404504230655367,0.388101356644542,0.446779858494481,0.428368563040086,0.01399
0.409663542993848,0.402092824517544,0.431639143095723,0.423586739935536,0.01409
0.410556110525233,0.413904758974769,0.419223317070975,0.422646443875694,0.01419
0.411577137362864,0.41668673666844,0.415628535324212,0.420808970586234,0.01429
0.395610172910526,0.416185101343044,0.416957122470531,0.438619344399043,0.01439
0.399182374825642,0.4460325944328,0.388375963404053,0.43380888472382,0.01449
0.380944337489188,0.435230668553113,0.395930261925304,0.452567565778816,0.01459
0.395424154827216,0.415574078905633,0.415428099998477,0.436731049794518,0.01469
0.390029458750592,0.425912098408911,0.405606139495886,0.443063996878939,0.01479
