########################################################
# Number of Frequencies: 18432
# Measurement Time [s]: 0.281250
########################################################
1.564444444444e+02 2.475087844617e-07, 3.264535112435e-07 8.749166377222e-06
1.600000000000e+02 2.288768775501e-07, 3.094492124112e-07 6.977069877437e-06
1.635555555556e+02 1.288566098275e-07, 2.077306658283e-07 7.245263874420e-06
1.671111111111e+02 3.032229296990e-07, 2.141229619169e-07 4.075697606662e-06
1.706666666667e+02 2.237971275374e-07, 3.734264895283e-07 6.279967967083e-06
1.742222222222e+02 1.996333489461e-07, 2.371739276471e-07 7.283186427634e-06
1.777777777778e+02 1.539689262675e-07, 2.526033211115e-07 4.913808706017e-06
1.813333333333e+02 1.349210132213e-07, 2.261945780821e-07 5.076484367501e-06
1.848888888889e+02 1.760550843686e-07, 2.398273723895e-07 4.062948757336e-06
1.884444444444e+02 1.636104959985e-07, 2.016373052711e-07 5.043624181421e-06
1.920000000000e+02 1.186268826841e-07, 2.323656105150e-07 5.727099823967e-06
1.955555555556e+02 1.299930376476e-07, 1.612033274402e-07 4.781577080655e-06
1.991111111111e+02 1.357603917726e-07, 2.031594914213e-07 5.013295813157e-06
2.026666666667e+02 1.366850162775e-07, 1.975654971735e-07 6.466349950829e-06
2.062222222222e+02 1.100923355378e-07, 2.030356252014e-07 2.609998502343e-06
2.097777777778e+02 1.543968500882e-07, 1.403826872203e-07 3.269574090638e-06
2.133333333333e+02 1.088838469221e-07, 1.667505469418e-07 1.702515596827e-06
2.168888888889e+02 1.617562020066e-07, 1.624820604394e-07 4.244484919458e-06
2.204444444444e+02 1.788755614341e-07, 2.356384203110e-07 4.042121843400e-06
2.240000000000e+02 1.284495755361e-07, 1.941200569645e-07 3.338402841679e-06
2.275555555556e+02 1.488798123306e-07, 1.376942756712e-07 4.837532599370e-06
2.311111111111e+02 1.345756249556e-07, 1.621578159746e-07 3.506645434976e-06
2.346666666667e+02 1.515122603721e-07, 1.048608903130e-07 3.229669721098e-06
2.382222222222e+02 1.240040205484e-07, 1.409920918305e-07 2.056295290668e-06
2.417777777778e+02 1.029186909597e-07, 1.052859446353e-07 2.116153708828e-06
2.453333333333e+02 8.918515334758e-08, 1.386561956371e-07 4.188072999518e-06
2.488888888889e+02 1.066700482796e-07, 1.226700622788e-07 3.525444449762e-06
2.524444444444e+02 1.084658832733e-07, 1.287814529519e-07 2.354146392033e-06
2.560000000000e+02 1.294680862305e-07, 1.264500416873e-07 5.058296526191e-06
2.595555555556e+02 7.288298213399e-08, 7.934264751705e-08 2.648350052048e-06
2.631111111111e+02 1.128642012876e-07, 7.705810674002e-08 2.064478602600e-06
2.666666666667e+02 1.174445655436e-07, 1.165419642059e-07 3.125936124503e-06
2.702222222222e+02 9.565736742352e-08, 1.150417192919e-07 3.159549627894e-06
2.737777777778e+02 1.132609991240e-07, 1.251589582229e-07 2.746923510451e-06
2.773333333333e+02 7.439129666505e-08, 7.837464209358e-08 2.550555440327e-06
2.808888888889e+02 7.992284335350e-08, 8.431079117499e-08 2.252532339722e-06
2.844444444444e+02 8.496169480938e-08, 1.137838595958e-07 2.051940751054e-06
2.880000000000e+02 7.373980347058e-08, 1.170597075059e-07 2.322310632655e-06
2.915555555556e+02 5.841875839401e-08, 7.513610901172e-08 1.947748747403e-06
2.951111111111e+02 8.201484989764e-08, 1.022330347209e-07 2.895474401415e-06
2.986666666667e+02 7.733468261409e-08, 1.027887633211e-07 1.912902526179e-06
3.022222222222e+02 7.401454566162e-08, 9.471098296845e-08 1.256214110126e-06
3.057777777778e+02 5.587256650185e-08, 9.128828122814e-08 1.568566760441e-06
3.093333333333e+02 9.319323352987e-08, 9.680079533428e-08 2.053596756401e-06
3.128888888889e+02 5.611779158520e-08, 1.044939594938e-07 2.457578530156e-06
3.164444444444e+02 7.814826364488e-08, 7.198443090219e-08 1.957614647523e-06
3.200000000000e+02 6.041851522042e-08, 6.653238330857e-08 1.440077239507e-06
3.235555555556e+02 5.478227729898e-08, 8.357486888274e-08 2.377976538525e-06
3.271111111111e+02 6.358606935660e-08, 5.759897965417e-08 1.711175791512e-06
3.306666666667e+02 6.008833211072e-08, 6.436192024365e-08 1.802873324446e-06
3.342222222222e+02 4.875964217650e-08, 8.885313733590e-08 2.084388691322e-06
3.377777777778e+02 8.326280205119e-08, 8.126997813903e-08 1.614737554660e-06
3.413333333333e+02 4.840612856091e-08, 4.621753416681e-08 1.399509858136e-06
3.448888888889e+02 5.247275964554e-08, 6.923617311711e-08 1.467327290717e-06
3.484444444444e+02 6.338307101770e-08, 5.935743542577e-08 1.974285268739e-06
3.520000000000e+02 6.382406086045e-08, 6.897186878433e-08 2.544486893538e-06
3.555555555556e+02 7.020287057770e-08, 8.080481429443e-08 1.482411842206e-06
3.591111111111e+02 5.596424403097e-08, 6.673275748090e-08 8.922134311987e-07
3.626666666667e+02 8.511940284028e-08, 7.592340744297e-08 1.140699937302e-06
3.662222222222e+02 4.657803887170e-08, 8.271013285617e-08 2.363801802154e-06
3.697777777778e+02 8.557975551786e-08, 5.244614124568e-08 1.847308082187e-06
3.733333333333e+02 7.551661482033e-08, 7.571969451676e-08 1.490119990290e-06
3.768888888889e+02 5.134987597570e-08, 6.807192297104e-08 1.448237561157e-06
3.804444444444e+02 3.919862164669e-08, 5.954866123057e-08 1.327177645277e-06
3.840000000000e+02 4.848139449707e-08, 5.167432468923e-08 1.306657327778e-06
3.875555555556e+02 4.897328833594e-08, 7.084798122364e-08 1.777757311110e-06
3.911111111111e+02 6.088602205018e-08, 3.485847169161e-08 7.823481183517e-07
3.946666666667e+02 6.331230901713e-08, 6.481926564272e-08 1.390166968311e-06
3.982222222222e+02 6.005466180217e-08, 7.341521895872e-08 1.494735018445e-06
4.017777777778e+02 7.725897002699e-08, 6.147140746424e-08 1.210881459911e-06
4.053333333333e+02 4.386851745129e-08, 5.934359951308e-08 8.478926673508e-07
4.088888888889e+02 3.158876563629e-08, 4.005881656893e-08 9.661938457546e-07
4.124444444444e+02 4.770273758600e-08, 3.709362860182e-08 9.721510481608e-07
4.160000000000e+02 3.358409818211e-08, 3.732350357327e-08 6.850488420630e-07
4.195555555556e+02 2.738218912412e-08, 5.276592754024e-08 8.406970776333e-07
4.231111111111e+02 5.693294731509e-08, 4.200760280458e-08 1.026912738182e-06
4.266666666667e+02 4.509331594292e-08, 5.936528136434e-08 1.137201614456e-06
4.302222222222e+02 3.650929305960e-08, 6.001668221290e-08 1.221550305970e-06
4.337777777778e+02 3.643603352279e-08, 4.305141969760e-08 1.344613182370e-06
4.373333333333e+02 3.845387228115e-08, 4.360417119272e-08 1.151864991380e-06
4.408888888889e+02 5.336806212892e-08, 5.523986619350e-08 8.910712573031e-07
4.444444444444e+02 2.969403707481e-08, 4.396158126169e-08 1.085678692754e-06
4.480000000000e+02 3.710002854734e-08, 3.576605137215e-08 8.180798135107e-07
4.515555555556e+02 5.473644271258e-08, 5.548076700005e-08 7.031693260408e-07
4.551111111111e+02 3.446882074276e-08, 4.271417757607e-08 6.532567706023e-07
4.586666666667e+02 3.494419058494e-08, 4.237269488163e-08 6.008390483392e-07
4.622222222222e+02 3.359585802289e-08, 4.736371651925e-08 1.138970597647e-06
4.657777777778e+02 4.652472521178e-08, 4.913185507333e-08 6.799481523695e-07
4.693333333333e+02 2.872416247019e-08, 3.651504239376e-08 6.936085135539e-07
4.728888888889e+02 3.502608125816e-08, 3.556348572023e-08 9.446196206916e-07
4.764444444444e+02 2.701675718316e-08, 4.801064111556e-08 7.203880476436e-07
4.800000000000e+02 2.453393212738e-08, 5.021789295039e-08 1.020323841459e-06
4.835555555556e+02 2.659119475968e-08, 4.437710157452e-08 4.917963033224e-07
4.871111111111e+02 3.951269193922e-08, 3.427595295312e-08 1.556849403283e-06
4.906666666667e+02 3.610019780710e-08, 3.847558356108e-08 9.205658442450e-07
4.942222222222e+02 4.001015363162e-08, 5.397386964313e-08 1.257644283105e-06
4.977777777778e+02 2.481060047464e-08, 4.017554268228e-08 7.685328942051e-07
5.013333333333e+02 3.446183524736e-08, 4.100383218606e-08 9.393640552196e-07
5.048888888889e+02 3.874400962573e-08, 2.821671663444e-08 8.916442275615e-07
5.084444444444e+02 3.720987609163e-08, 3.946298791629e-08 1.063261207033e-06
5.120000000000e+02 2.511584675548e-08, 2.612409995179e-08 9.151989332304e-07
5.155555555556e+02 1.875377903367e-08, 3.575854809275e-08 5.600203812696e-07
5.191111111111e+02 4.288247886328e-08, 3.427097895464e-08 6.641310799547e-07
5.226666666667e+02 2.353190562832e-08, 3.185831181395e-08 8.326786816210e-07
5.262222222222e+02 2.537205902798e-08, 3.014500070194e-08 6.291217466672e-07
5.297777777778e+02 3.106139047212e-08, 2.062591566467e-08 6.071433896451e-07
5.333333333333e+02 2.191149107409e-08, 2.529613635936e-08 3.964656007440e-07
5.368888888889e+02 3.084336396801e-08, 2.578650643640e-08 5.068716831213e-07
5.404444444444e+02 2.472549952806e-08, 2.969894034173e-08 9.708669814103e-07
5.440000000000e+02 2.569942678408e-08, 2.448348204305e-08 6.252318006065e-07
5.475555555556e+02 3.213752037479e-08, 1.677506347122e-08 8.690693184863e-07
5.511111111111e+02 3.541732611162e-08, 2.957363439330e-08 8.914223977510e-07
5.546666666667e+02 2.545179532797e-08, 3.194824667263e-08 6.899834361324e-07
5.582222222222e+02 2.358180774583e-08, 3.476320482684e-08 5.599875603382e-07
5.617777777778e+02 2.371586140504e-08, 2.637878321641e-08 6.908119482723e-07
5.653333333333e+02 3.082620376729e-08, 3.399512537097e-08 3.045671810279e-07
5.688888888889e+02 2.966775414475e-08, 3.286176816213e-08 6.426872007738e-07
5.724444444444e+02 2.527222298252e-08, 2.876405055554e-08 4.447464890737e-07
5.760000000000e+02 2.261904615040e-08, 2.808472230774e-08 5.081801803045e-07
5.795555555556e+02 2.343894141582e-08, 3.949240478824e-08 5.167240565489e-07
5.831111111111e+02 2.499729283029e-08, 3.525388036410e-08 4.792256771280e-07
5.866666666667e+02 4.044577802118e-08, 4.070652708108e-08 5.874800497387e-07
5.902222222222e+02 4.297603700286e-08, 1.064060628622e-07 1.072403119252e-06
5.937777777778e+02 5.372444920943e-08, 1.759085543230e-07 1.821157319297e-06
5.973333333333e+02 3.781851442878e-08, 4.717268065377e-08 7.137079454558e-07
6.008888888889e+02 2.193622371704e-08, 3.853209543969e-08 6.493609360037e-07
6.044444444444e+02 2.096221205368e-08, 2.551584950133e-08 5.853147735780e-07
6.080000000000e+02 1.741339060390e-08, 3.588194899054e-08 6.082347396630e-07
6.115555555556e+02 2.284066052738e-08, 2.590154881921e-08 5.747102342923e-07
6.151111111111e+02 2.195084217418e-08, 2.723808372357e-08 7.445659881600e-07
6.186666666667e+02 2.108254835129e-08, 2.126479528694e-08 4.781053047806e-07
6.222222222222e+02 2.144045614712e-08, 2.604421073274e-08 3.407401748308e-07
6.257777777778e+02 1.328844808189e-08, 2.015596777041e-08 6.843936204289e-07
6.293333333333e+02 1.771324278616e-08, 2.233387623655e-08 3.358089815936e-07
6.328888888889e+02 2.017743565427e-08, 1.644695259590e-08 3.778968736430e-07
6.364444444444e+02 2.151480352129e-08, 2.122247799837e-08 6.042336148004e-07
6.400000000000e+02 2.186064507798e-08, 2.803751661830e-08 4.550827522216e-07
6.435555555556e+02 1.419699870387e-08, 1.874346680954e-08 2.303666532121e-07
6.471111111111e+02 1.781620537112e-08, 2.963460958861e-08 5.755534408306e-07
6.506666666667e+02 1.627038118125e-08, 2.199743194915e-08 6.798511580205e-07
6.542222222222e+02 2.443082276916e-08, 2.072699526485e-08 3.497800880209e-07
