logz logzerr logvol nlive logl logwt insert_order
-2.995732273553969982e+00 1.835953055853900007e-01 -5.129329438755053650e-02 3.800000000000000000e+02 2.622787673055581671e-14 -5.991464547107955063e+00 nan
-2.946942109384537822e+00 1.685930968951267483e-01 -5.392834202555564505e-02 3.790000000000000000e+02 2.677367749006956303e-14 -5.991464547107955063e+00 nan
-2.900422093749644770e+00 1.643175195835661628e-01 -5.657035148839430205e-02 3.780000000000000000e+02 2.916131234923777509e-14 -5.991464547107953287e+00 nan
-2.855970331178810717e+00 1.462776935512807575e-01 -5.921935965997122964e-02 3.770000000000000000e+02 2.944121629503807502e-14 -5.991464547107952399e+00 nan
-2.813410716760014640e+00 1.577604774848033742e-01 -6.187540371808748080e-02 3.760000000000000000e+02 2.949709415776593318e-14 -5.991464547107952399e+00 nan
-2.772588722239759385e+00 1.456031110378522286e-01 -6.453852113757117814e-02 3.750000000000000000e+02 2.966710091040606877e-14 -5.991464547107952399e+00 nan
-2.733368009086477812e+00 1.437114421281121546e-01 -6.720874969345005945e-02 3.740000000000000000e+02 3.040311186243643791e-14 -5.991464547107952399e+00 nan
-2.695627681103630380e+00 1.586290412043279974e-01 -6.988612746416644761e-02 3.730000000000000000e+02 3.041444818448601586e-14 -5.991464547107952399e+00 nan
-2.659260036932755256e+00 1.525192408861727467e-01 -7.257069283483542910e-02 3.720000000000000000e+02 3.058817238875338025e-14 -5.991464547107951510e+00 nan
-2.624168717121484917e+00 1.499395363855543784e-01 -7.526248450054684458e-02 3.710000000000000000e+02 3.149015835285301802e-14 -5.991464547107950622e+00 nan
-2.590267165445803155e+00 1.368485264470814533e-01 -7.796154146971186194e-02 3.700000000000000000e+02 3.157667377355658305e-14 -5.991464547107949734e+00 nan
-2.557477342622811900e+00 1.273982477818582371e-01 -8.066790306745480477e-02 3.690000000000000000e+02 3.182782883868741250e-14 -5.991464547107949734e+00 nan
-2.525728644308231186e+00 1.337767165908761713e-01 -8.338160893905106896e-02 3.680000000000000000e+02 3.233842621204573905e-14 -5.991464547107950622e+00 nan
-2.494956985641477498e+00 1.344317279838978252e-01 -8.610269905341172425e-02 3.670000000000000000e+02 3.249462931802814608e-14 -5.991464547107949734e+00 nan
-2.465104022491796165e+00 1.238286195655471794e-01 -8.883121370661574423e-02 3.660000000000000000e+02 3.303870822954451597e-14 -5.991464547107948846e+00 nan
-2.436116485618543770e+00 1.177015420784072314e-01 -9.156719352549048951e-02 3.650000000000000000e+02 3.305881862563993391e-14 -5.991464547107948846e+00 nan
-2.407945608651847369e+00 1.103574478688617022e-01 -9.431067947124133211e-02 3.640000000000000000e+02 3.317220489213064825e-14 -5.991464547107948846e+00 nan
-2.380546634463732492e+00 1.125030679150006152e-01 -9.706171284313121206e-02 3.630000000000000000e+02 3.318716186192960892e-14 -5.991464547107948846e+00 nan
-2.353878387381570736e+00 1.257317715216797749e-01 -9.982033528221093133e-02 3.620000000000000000e+02 3.324458971141004878e-14 -5.991464547107949734e+00 nan
-2.327902900978310097e+00 1.243295037646554441e-01 -1.025865887751010730e-01 3.610000000000000000e+02 3.326534015656650447e-14 -5.991464547107948846e+00 nan
-2.302585092994020144e+00 1.327213175016469238e-01 -1.053605156578263091e-01 3.600000000000000000e+02 3.340903423900629725e-14 -5.991464547107947958e+00 nan
-2.277892480403648445e+00 1.216668954943372766e-01 -1.081421586197031243e-01 3.590000000000000000e+02 3.343153648260256922e-14 -5.991464547107947958e+00 nan
-2.253794928824587540e+00 1.194725767030218877e-01 -1.109315607072816900e-01 3.580000000000000000e+02 3.348618940025138397e-14 -5.991464547107947958e+00 nan
-2.230264431414393123e+00 1.180601215577109370e-01 -1.137287653283429179e-01 3.570000000000000000e+02 3.359615463140813860e-14 -5.991464547107947958e+00 nan
-2.207274913189694043e+00 1.176043636653236885e-01 -1.165338162559515361e-01 3.560000000000000000e+02 3.365611442030159821e-14 -5.991464547107947958e+00 nan
-2.184802057337635439e+00 1.180811428372737365e-01 -1.193467576325661916e-01 3.550000000000000000e+02 3.395875497850045247e-14 -5.991464547107948846e+00 nan
-2.162823150618859991e+00 1.134267425869474877e-01 -1.221676339742075318e-01 3.540000000000000000e+02 3.407299387262473508e-14 -5.991464547107947958e+00 nan
-2.141316945397896188e+00 1.086370066627678627e-01 -1.249964901746852125e-01 3.530000000000000000e+02 3.412656025290928871e-14 -5.991464547107947958e+00 nan
-2.120263536200063914e+00 1.044960290039583101e-01 -1.278333715098848855e-01 3.520000000000000000e+02 3.422592182065905412e-14 -5.991464547107947070e+00 nan
-2.099644248997328155e+00 9.671547044121341086e-02 -1.306783236421161787e-01 3.510000000000000000e+02 3.423673273790435549e-14 -5.991464547107947070e+00 nan
-2.079441541679808658e+00 9.747958962321162657e-02 -1.335313926245226268e-01 3.500000000000000000e+02 3.449906885747056970e-14 -5.991464547107947070e+00 nan
-2.059638914383628894e+00 1.000706560686813185e-01 -1.363926249055548157e-01 3.490000000000000000e+02 3.459528227383187404e-14 -5.991464547107947070e+00 nan
-2.040220828526527086e+00 9.751489038993872704e-02 -1.392620673335076553e-01 3.480000000000000000e+02 3.467437326079184323e-14 -5.991464547107947958e+00 nan
-2.021172633555832654e+00 9.572385131585289808e-02 -1.421397671611228097e-01 3.470000000000000000e+02 3.477020336563026539e-14 -5.991464547107947070e+00 nan
-2.002480500543680098e+00 9.568308420428450756e-02 -1.450257720502577397e-01 3.460000000000000000e+02 3.487630852174364212e-14 -5.991464547107947958e+00 nan
-1.984131361875483446e+00 9.445915915430133647e-02 -1.479201300766222471e-01 3.450000000000000000e+02 3.535879076917141391e-14 -5.991464547107947070e+00 nan
-1.966112856372804973e+00 8.881115263284526662e-02 -1.508228897345836594e-01 3.440000000000000000e+02 3.545338481300717343e-14 -5.991464547107946181e+00 nan
-1.948413279273403909e+00 8.894593328197138160e-02 -1.537340999420420962e-01 3.430000000000000000e+02 3.554805893421526072e-14 -5.991464547107946181e+00 nan
-1.931021536561534635e+00 8.597428546510409164e-02 -1.566538100453768456e-01 3.420000000000000000e+02 3.562858290592108413e-14 -5.991464547107946181e+00 nan
-1.913927103202234470e+00 8.319033797044569911e-02 -1.595820698244652114e-01 3.410000000000000000e+02 3.563000910269622903e-14 -5.991464547107947070e+00 nan
-1.897119984885853095e+00 8.288434880714690145e-02 -1.625189294977749388e-01 3.400000000000000000e+02 3.565572167370404115e-14 -5.991464547107947070e+00 nan
-1.880590682934642377e+00 8.565858367764338233e-02 -1.654644397275317480e-01 3.390000000000000000e+02 3.566232438653025136e-14 -5.991464547107946181e+00 nan
-1.864330162062861840e+00 7.808280973722735163e-02 -1.684186516249632226e-01 3.380000000000000000e+02 3.589204623424386165e-14 -5.991464547107946181e+00 nan
-1.848329820716420491e+00 7.686366127837544748e-02 -1.713816167556202752e-01 3.370000000000000000e+02 3.597044933507732010e-14 -5.991464547107946181e+00 nan
-1.832581463748281125e+00 7.311762335577534633e-02 -1.743533871447777717e-01 3.360000000000000000e+02 3.601163365942827969e-14 -5.991464547107945293e+00 nan
-1.817077277212315822e+00 7.442578093302749942e-02 -1.773340152829155636e-01 3.350000000000000000e+02 3.612073894299686157e-14 -5.991464547107945293e+00 nan
-1.801809805081527216e+00 6.860842494894779653e-02 -1.803235541312815937e-01 3.340000000000000000e+02 3.627801195635600775e-14 -5.991464547107946181e+00 nan
-1.786771927716986674e+00 6.796936705620522379e-02 -1.833220571275381849e-01 3.330000000000000000e+02 3.687911169916408702e-14 -5.991464547107944405e+00 nan
-1.771956841931845883e+00 6.713834856471459500e-02 -1.863295781914934834e-01 3.320000000000000000e+02 3.745785398937699742e-14 -5.991464547107944405e+00 nan
-1.757358042510693164e+00 6.250002970476765951e-02 -1.893461717309191383e-01 3.310000000000000000e+02 3.767642340962392984e-14 -5.991464547107944405e+00 nan
-1.742969305058593488e+00 6.296005341330754290e-02 -1.923718926474561330e-01 3.300000000000000000e+02 3.775257366503184451e-14 -5.991464547107943517e+00 nan
-1.728784670066636941e+00 6.437692188029543738e-02 -1.954067963426101562e-01 3.290000000000000000e+02 3.812468449674704534e-14 -5.991464547107943517e+00 nan
-1.714798428091896865e+00 6.938062807919552488e-02 -1.984509387238383160e-01 3.280000000000000000e+02 3.853425177240801115e-14 -5.991464547107944405e+00 nan
-1.701005105959561003e+00 6.848492783426081421e-02 -2.015043762107286696e-01 3.270000000000000000e+02 3.866147894587562361e-14 -5.991464547107942629e+00 nan
-1.687399453903782209e+00 6.830848725309823788e-02 -2.045671657412744260e-01 3.260000000000000000e+02 3.912826881783156544e-14 -5.991464547107943517e+00 nan
-1.673976433571641387e+00 6.939388069223420552e-02 -2.076393647782445728e-01 3.250000000000000000e+02 3.928447007412053204e-14 -5.991464547107942629e+00 nan
-1.660731206821620676e+00 6.979608720015159640e-02 -2.107210313156526738e-01 3.240000000000000000e+02 3.948137169817175661e-14 -5.991464547107942629e+00 nan
-1.647659125254267831e+00 7.085525509379336784e-02 -2.138122238853255308e-01 3.230000000000000000e+02 3.952916401135297893e-14 -5.991464547107941740e+00 nan
-1.634755720418359815e+00 7.404477729662940766e-02 -2.169130015635737652e-01 3.220000000000000000e+02 3.990044822148221646e-14 -5.991464547107942629e+00 nan
-1.622016694640930012e+00 7.059391855087431000e-02 -2.200234239779662038e-01 3.210000000000000000e+02 4.026783811314734155e-14 -5.991464547107941740e+00 nan
-1.609437912434069862e+00 7.246729680194036183e-02 -2.231435513142098481e-01 3.200000000000000000e+02 4.036169272112962596e-14 -5.991464547107941740e+00 nan
-1.597015392435512604e+00 7.330733859025306831e-02 -2.262734443231375070e-01 3.190000000000000000e+02 4.058670380189658008e-14 -5.991464547107940852e+00 nan
