weight logl A B
2.499999999901368446e-03 3.395875497850045247e-14 1.935903035755630754e+03 1.645297487212321357e+04
2.499999999901370614e-03 3.407299387262473508e-14 8.309859059845677111e+05 2.287045260636963212e+04
2.499999999901370614e-03 3.412656025290928871e-14 8.228035898007007316e+06 1.028686754571823258e+03
2.499999999901372782e-03 3.422592182065905412e-14 6.679579937397749163e+05 2.302272482654259147e+04
2.499999999901372782e-03 3.423673273790435549e-14 2.835406545626454521e+06 2.269388017467716782e+04
2.499999999901372782e-03 3.449906885747056970e-14 1.849947656819611788e+06 8.306846965387967430e+03
2.499999999901372782e-03 3.459528227383187404e-14 2.841775927385057439e+05 1.436605845274045168e+04
2.499999999901370614e-03 3.467437326079184323e-14 5.277653079166849056e+04 2.326658898292720551e+04
2.499999999901372782e-03 3.477020336563026539e-14 1.654788717991780140e+05 2.353767954474793441e+04
2.499999999901370614e-03 3.487630852174364212e-14 1.786006640359667072e+05 1.470080933294975875e+04
2.499999999901372782e-03 3.535879076917141391e-14 7.000881255471816985e+04 2.441415226839467141e+04
2.499999999901374951e-03 3.545338481300717343e-14 1.202388892128167527e+03 1.519404938083262277e+04
2.499999999901374951e-03 3.554805893421526072e-14 1.025616457270724932e+05 1.466351988187207280e+04
2.499999999901374951e-03 3.562858290592108413e-14 2.102940433321422825e+04 2.481528596061467033e+04
2.499999999901372782e-03 3.563000910269622903e-14 7.131247233985610364e+04 2.484340690396580248e+04
2.499999999901372782e-03 3.565572167370404115e-14 3.461461791353910667e+04 2.486552824462766876e+04
2.499999999901374951e-03 3.566232438653025136e-14 9.668215910471578827e+05 2.499430168933547611e+04
2.499999999901374951e-03 3.589204623424386165e-14 1.146701638876490295e+06 1.034763305837046937e+04
2.499999999901374951e-03 3.597044933507732010e-14 1.489517290509470513e+03 2.534560972692645373e+04
2.499999999901377553e-03 3.601163365942827969e-14 7.547961345255178458e+03 1.484333406883686621e+04
2.499999999901377553e-03 3.612073894299686157e-14 3.022517315581491566e+05 2.564551811761226782e+04
2.499999999901374951e-03 3.627801195635600775e-14 2.120955182303396577e+05 1.382719847689711423e+04
2.499999999901379721e-03 3.687911169916408702e-14 3.371381758665078669e+05 1.308076814441313218e+04
2.499999999901379721e-03 3.745785398937699742e-14 1.011242873151650070e+06 1.042640235599714651e+04
2.499999999901379721e-03 3.767642340962392984e-14 4.006705628264942789e+04 1.396565594239178608e+04
2.499999999901381890e-03 3.775257366503184451e-14 9.562971495980527252e+05 2.778568228993467346e+04
2.499999999901381890e-03 3.812468449674704534e-14 8.270576561389227863e+05 2.835316274347289072e+04
2.499999999901379721e-03 3.853425177240801115e-14 8.770282653047035637e+03 1.378323083306320586e+04
2.499999999901384058e-03 3.866147894587562361e-14 5.250204644380090031e+03 2.943348524683352662e+04
2.499999999901381890e-03 3.912826881783156544e-14 9.152461690164321044e+04 3.011011657716593254e+04
2.499999999901384058e-03 3.928447007412053204e-14 9.498301105263104546e+04 3.034537808095959190e+04
2.499999999901384058e-03 3.948137169817175661e-14 1.140062957736394765e+03 3.068432001355919056e+04
2.499999999901386227e-03 3.952916401135297893e-14 2.325110065500102646e+05 3.065543572950869202e+04
2.499999999901384058e-03 3.990044822148221646e-14 3.995085615800566302e+03 1.338037167646233320e+04
2.499999999901386227e-03 4.026783811314734155e-14 5.648530709456359036e+06 1.711900049645199942e+03
